Abbreviation,Description,Neutral formula,Charged formula,Charge,Compartment,KEGG ID,PubChem ID,ChEBI ID,InChI string,SMILES
m02661[s],oxalate,C2H2O4,C2H2O4,0,s,C00209,,CHEBI:16995,,
m01280[c],adenosine,C10H13N5O4,C10H13N5O4,0,c,C00212,,CHEBI:16335,,
m01280[l],adenosine,C10H13N5O4,C10H13N5O4,0,l,C00212,,CHEBI:16335,,
m01280[m],adenosine,C10H13N5O4,C10H13N5O4,0,m,C00212,,CHEBI:16335,,
m01280[s],adenosine,C10H13N5O4,C10H13N5O4,0,s,C00212,,CHEBI:16335,,
m02880[c],sarcosine,C3H7NO2,C3H7NO2,0,c,C00213,,CHEBI:15611,,
m02880[m],sarcosine,C3H7NO2,C3H7NO2,0,m,C00213,,CHEBI:15611,,
m02880[p],sarcosine,C3H7NO2,C3H7NO2,0,p,C00213,,CHEBI:15611,,
m02880[s],sarcosine,C3H7NO2,C3H7NO2,0,s,C00213,,CHEBI:15611,,
m02996[c],thymidine,C10H14N2O5,C10H14N2O5,0,c,C00214,,CHEBI:17748,,
m02996[l],thymidine,C10H14N2O5,C10H14N2O5,0,l,C00214,,CHEBI:17748,,
m02996[m],thymidine,C10H14N2O5,C10H14N2O5,0,m,C00214,,CHEBI:17748,,
m02996[s],thymidine,C10H14N2O5,C10H14N2O5,0,s,C00214,,CHEBI:17748,,
m02473[c],methylamine,CH5N,CH5N,0,c,C00218,,CHEBI:16830,,
m01362[c],arachidonate,C20H32O2,C20H32O2,0,c,C00219,,CHEBI:15843;CHEBI:32395,,
m01362[l],arachidonate,C20H32O2,C20H32O2,0,l,C00219,,CHEBI:15843;CHEBI:32395,,
m01362[n],arachidonate,C20H32O2,C20H32O2,0,n,C00219,,CHEBI:15843;CHEBI:32395,,
m01362[p],arachidonate,C20H32O2,C20H32O2,0,p,C00219,,CHEBI:15843;CHEBI:32395,,
m01362[r],arachidonate,C20H32O2,C20H32O2,0,r,C00219,,CHEBI:15843;CHEBI:32395,,
m01362[s],arachidonate,C20H32O2,C20H32O2,0,s,C00219,,CHEBI:15843;CHEBI:32395,,
m01388[c],beta-D-glucose,C6H12O6,C6H12O6,0,c,C00221,,CHEBI:15903,,
m00900[m],3-oxopropanoate,C3H4O3,C3H4O3,0,m,C00222,,CHEBI:17960,,
m00982[c],4-coumaroyl-CoA,C30H42N7O18P3S,C30H42N7O18P3S,0,c,C00223,,CHEBI:15499,,
m01283[c],adenylyl sulfate,C10H14N5O10PS,C10H14N5O10PS,0,c,C00224,,CHEBI:17709,,
m00184[c],[ACP],HSR,HSR,0,c,C00229,,,,
m01761[c],D-xylulose-5-phosphate,C5H11O8P,C5H11O8P,0,c,C00231,,CHEBI:16332,,
